city_id,city_name,country,latitude,longitude,weather_date,temp,humidity,cloudiness,wind_speed
2343985,Effium,NG,6.63,8.06,07/19/20,            73.4,100,75,4.16
5848280,Kapaa,US,22.08,-159.32,07/19/20,            78.98,83,90,13.87
2065594,Mount Isa,AU,-20.73,139.5,07/19/20,            75.2,14,81,12.75
3370903,Jamestown,SH,-15.94,-5.72,07/19/20,            62.01,88,90,17.18
156589,Koani,TZ,-6.13,39.28,07/19/20,            75.2,78,20,8.05
2163355,Hobart,AU,-42.88,147.33,07/19/20,            49.01,61,75,18.34
4032243,Vaini,TO,-21.2,-175.2,07/19/20,            69.8,94,90,6.93
1806445,Ji’an,CN,27.12,114.98,07/19/20,            80.4,85,100,3.29
3946820,Barranca,PE,-10.75,-77.77,07/19/20,            60.01,85,68,5.66
964432,Port Alfred,ZA,-33.59,26.89,07/19/20,            62.98,29,0,8.08
4030556,Rikitea,PF,-23.12,-134.97,07/19/20,            68.88,58,1,11.81
4031574,Provideniya,RU,64.38,-173.3,07/19/20,            50,81,75,13.42
1650434,Bambanglipuro,ID,-7.95,110.28,07/19/20,            83.05,70,53,14.9
6646306,Dongzhen,CN,22.38,110.94,07/19/20,            91.99,44,97,10.96
3366880,Hermanus,ZA,-34.42,19.23,07/19/20,            55,91,16,3
1644932,Ende,ID,-8.84,121.66,07/19/20,            85.69,50,21,4.81
3379507,Bartica,GY,6.4,-58.62,07/19/20,            75.2,100,40,2.24
3652764,Puerto Ayora,EC,-0.74,-90.35,07/19/20,            69.01,93,77,4
1507390,Dikson,RU,73.51,80.55,07/19/20,            41.02,98,80,9.86
2012530,Zhigansk,RU,66.77,123.37,07/19/20,            62.94,70,100,4.29
2077963,Albany,AU,-35.02,117.89,07/19/20,            57.2,67,40,10.29
2447513,Arlit,NE,18.74,7.39,07/19/20,            84.61,45,0,3.06
6167817,Torbay,CA,47.67,-52.73,07/19/20,            59.79,87,20,11.41
2511150,Santa Lucía,ES,27.91,-15.54,07/19/20,            76.66,69,0,27.51
1803936,Wuwei,CN,37.93,102.64,07/19/20,            81,40,98,3.2
986717,Kruisfontein,ZA,-34,24.73,07/19/20,            52.02,41,0,7.18
5880054,Barrow,US,71.29,-156.79,07/19/20,            37.4,86,90,14.99
1505260,Ivdel',RU,60.69,60.42,07/19/20,            58.32,75,99,9.78
3874787,Punta Arenas,CL,-53.15,-70.92,07/19/20,            33.39,80,97,8.05
1337607,Kudahuvadhoo,MV,2.67,72.89,07/19/20,            83.66,76,100,20.27
2037712,Dehui,CN,44.53,125.7,07/19/20,            71.6,73,90,4.47
2013918,Ust-Maya,RU,60.42,134.53,07/19/20,            85.87,41,88,11.07
3420846,Qaqortoq,GL,60.72,-46.03,07/19/20,            51.8,53,79,3.36
3374121,Ribeira Brava,CV,16.62,-24.3,07/19/20,            71.15,96,9,11.48
1512019,Aksarka,RU,66.56,67.8,07/19/20,            60.19,55,23,6.53
2630299,Hofn,IS,64.25,-15.21,07/19/20,            51.91,72,98,1.99
1631637,Pemangkat,ID,1.17,108.97,07/19/20,            84.96,64,100,1.28
3932145,Pisco,PE,-13.7,-76.22,07/19/20,            59,87,20,2.24
2126123,Chokurdakh,RU,70.63,147.92,07/19/20,            77.95,37,100,15.82
4470244,Havelock,US,34.88,-76.9,07/19/20,            83.37,45,1,10.29
2129163,Mombetsu,JP,44.35,143.35,07/19/20,            69.8,83,20,6.93
3421982,Maniitsoq,GL,65.42,-52.9,07/19/20,            49.95,75,100,2.06
4035715,Avarua,CK,-21.21,-159.78,07/19/20,            75.2,73,67,19.46
4020109,Atuona,PF,-9.8,-139.03,07/19/20,            79.65,77,45,16.22
2075265,Busselton,AU,-33.65,115.33,07/19/20,            59.18,49,0,10.58
2178753,Kirakira,SB,-10.45,161.92,07/19/20,            82.71,76,22,7.56
3833367,Ushuaia,AR,-54.8,-68.3,07/19/20,            26.6,92,0,9.17
5847411,Kahului,US,20.89,-156.47,07/19/20,            78.33,51,40,23.04
2525392,Capaci,IT,38.17,13.24,07/19/20,            72.97,61,0,5.82
116402,Semnan,IR,35.57,53.4,07/19/20,            85.77,16,0,7.18
2126710,Beringovskiy,RU,63.05,179.32,07/19/20,            45.3,74,80,11.39
1512524,Tuytepa,UZ,41.03,69.36,07/19/20,            84.2,35,20,2.24
3480908,La Asuncion,VE,11.03,-63.86,07/19/20,            82.4,88,8,13.87
3573197,Hamilton,BM,32.29,-64.78,07/19/20,            77.85,78,75,6.93
5924351,Clyde River,CA,70.47,-68.59,07/19/20,            41,93,1,4.7
6111862,Port Hardy,CA,50.7,-127.42,07/19/20,            64.4,68,20,6.93
779622,Havøysund,NO,71,24.66,07/19/20,            50,93,75,16.11
1806466,Guangyuan,CN,32.44,105.82,07/19/20,            80.96,65,100,5.32
4034551,Faanui,PF,-16.48,-151.75,07/19/20,            76.95,84,66,21.79
6170031,Tuktoyaktuk,CA,69.45,-133.04,07/19/20,            48.2,76,75,3.36
2112309,Katsuura,JP,35.13,140.3,07/19/20,            84.61,83,75,8.05
778707,Mehamn,NO,71.04,27.85,07/19/20,            51.13,87,100,5.37
2134814,Sola,VU,-13.88,167.55,07/19/20,            80.6,65,90,6.93
1852357,Shimoda,JP,34.67,138.95,07/19/20,            81.68,78,75,9.17
2136825,Isangel,VU,-19.55,169.27,07/19/20,            77,61,40,9.17
3985168,San Patricio,MX,19.22,-104.7,07/19/20,            80.04,86,90,6.91
2068110,Kununurra,AU,-15.77,128.73,07/19/20,            86,18,0,5.82
2074865,Carnarvon,AU,-24.87,113.63,07/19/20,            69.8,37,0,14.99
2179670,Wanganui,NZ,-39.93,175.05,07/19/20,            60.01,67,97,3
5861897,Fairbanks,US,64.84,-147.72,07/19/20,            69.46,46,1,8.05
4031637,Lavrentiya,RU,65.58,-171,07/19/20,            47.77,74,100,9.91
2155415,New Norfolk,AU,-42.78,147.06,07/19/20,            47.97,76,59,1.99
2123814,Leningradskiy,RU,69.38,178.42,07/19/20,            43.9,69,1,9.71
6690296,Saint-Joseph,RE,-21.37,55.62,07/19/20,            55.26,72,75,9.17
210379,Lusambo,CD,-4.97,23.45,07/19/20,            62.98,50,1,2.21
1282256,Hithadhoo,MV,-0.6,73.08,07/19/20,            82.87,78,100,14.07
962847,Reitz,ZA,-27.8,28.43,07/19/20,            35.67,66,0,3.65
3466165,Cidreira,BR,-30.18,-50.21,07/19/20,            65.95,79,76,5.39
3382226,Camopi,GF,3.17,-52.32,07/19/20,            71.33,97,98,2.01
2618795,Klaksvík,FO,62.23,-6.59,07/19/20,            50,87,70,12.75
546105,Nikolskoye,RU,59.7,30.79,07/19/20,            62.31,87,81,4.47
1835848,Seoul,KR,37.57,126.98,07/19/20,            73.9,88,90,13.18
161974,Bereket,TM,39.24,55.52,07/19/20,            92.46,24,0,4.68
3419842,Sisimiut,GL,66.94,-53.67,07/19/20,            49.75,77,41,2.84
3372783,Ponta Delgada,PT,37.73,-25.67,07/19/20,            68,72,75,5.82
88533,Awjilah,LY,29.11,21.29,07/19/20,            72.46,59,1,9.73
3517970,Pochutla,MX,15.74,-96.47,07/19/20,            76.42,88,24,3.69
286245,Sur,OM,22.57,59.53,07/19/20,            88.34,66,81,6.08
2171722,Charters Towers,AU,-20.1,146.27,07/19/20,            76.55,38,4,8.37
2242885,Camabatela,AO,-8.19,15.38,07/19/20,            55.38,40,0,3.94
3870243,Taltal,CL,-25.4,-70.48,07/19/20,            56.62,74,100,1.7
3455756,Osvaldo Cruz,BR,-21.8,-50.88,07/19/20,            62.37,44,0,8.37
6165406,Thompson,CA,55.74,-97.86,07/19/20,            62.6,72,75,3.36
2013465,Verkhoyansk,RU,67.54,133.38,07/19/20,            70.66,66,88,5.7
230893,Kitgum,UG,3.28,32.89,07/19/20,            63.07,92,56,4.41
3689589,Ariguaní,CO,10.25,-74,07/19/20,            80.01,87,57,2.98
526296,Mirskoy,RU,45.54,40.4,07/19/20,            74.03,59,5,5.57
3369157,Cape Town,ZA,-33.93,18.42,07/19/20,            53.42,93,0,5.82
1497210,Novoagansk,RU,61.94,76.66,07/19/20,            55.67,83,100,20.54
5563839,Fortuna,US,40.6,-124.16,07/19/20,            54.79,100,90,8.05
212902,Kindu,CD,-2.95,25.95,07/19/20,            65.5,63,0,1.97
2160053,Lithgow,AU,-33.48,150.15,07/19/20,            63.99,33,0,9.73
3860443,Comodoro Rivadavia,AR,-45.87,-67.5,07/19/20,            42.8,87,90,9.17
933995,Souillac,MU,-20.52,57.52,07/19/20,            69.8,60,75,17.22
2121385,Severo-Kuril'sk,RU,50.68,156.12,07/19/20,            53.26,80,64,14.14
5955902,Fort Nelson,CA,58.81,-122.7,07/19/20,            75.2,47,40,3.36
545728,Komsomol'skiy,RU,43.98,46.7,07/19/20,            86.2,46,0,10.49
4032420,Neiafu,TO,-18.65,-173.98,07/19/20,            75.2,78,75,11.41
3421719,Narsaq,GL,60.92,-46.05,07/19/20,            51.8,53,58,3.36
3139597,Sistranda,NO,63.73,8.83,07/19/20,            53.6,93,75,3.36
1273626,Medininagar,IN,24.03,84.07,07/19/20,            89.6,59,100,10.29
935214,Saint-Pierre,RE,-21.34,55.48,07/19/20,            56.17,72,75,9.17
2123979,Kuril'sk,RU,45.23,147.88,07/19/20,            61.34,85,90,4.54
5855927,Hilo,US,19.73,-155.09,07/19/20,            74.21,78,90,9.55
5282297,Bethel,US,41.37,-73.41,07/19/20,            75.76,83,75,5.28
3414079,Olafsvik,IS,64.89,-23.71,07/19/20,            47.53,80,39,7.78
1880252,Singapore,SG,1.29,103.85,07/19/20,            86.97,66,75,6.93
3446098,Três Lagoas,BR,-20.75,-51.68,07/19/20,            63.75,47,0,6.67
170062,Aleppo Governorate,SY,36.25,37.5,07/19/20,            76.44,67,0,7.07
3547930,Mantua,CU,22.29,-84.28,07/19/20,            77.67,85,94,4.52
3412093,Vestmannaeyjar,IS,63.44,-20.27,07/19/20,            48.9,79,27,0.87
2194098,Ahipara,NZ,-35.17,173.17,07/19/20,            61.79,84,93,2.84
2110227,Butaritari,KI,3.07,172.79,07/19/20,            82.92,79,0,15.82
3938415,Ilo,PE,-17.64,-71.34,07/19/20,            58.41,78,90,6.42
2206939,Bluff,NZ,-46.6,168.33,07/19/20,            45.79,83,99,5.77
4156404,Gainesville,US,29.65,-82.32,07/19/20,            79.23,83,1,3.36
2071860,Esperance,AU,-33.87,121.9,07/19/20,            55.4,66,64,8.05
1525376,Bestöbe,KZ,52.5,73.1,07/19/20,            83.8,43,76,10.29
